Date,Price,Open,High,Low,Vol.,Change %
01/15/2015,218.01,218,220,216.5,89.20K,0.02%
01/14/2015,217.96,218.74,219.98,216,157.70K,0.40%
01/13/2015,217.1,218,219,217,38.20K,-0.33%
01/12/2015,217.82,218.8,218.8,217,46.20K,0.13%
01/09/2015,217.54,219.69,219.69,215,29.50K,0.72%
01/08/2015,215.99,218,219.7,214.01,92.70K,-1.63%
01/07/2015,219.57,219.5,221,218.4,190.80K,0.51%
01/06/2015,218.46,221.9,221.9,218.15,64.30K,-0.71%
01/05/2015,220.02,220,220.84,218.2,114.40K,0.56%
01/02/2015,218.8,215.1,220,215.1,255.60K,1.28%
01/01/2015,216.03,217.98,217.98,214.51,12.50K,-0.11%
12/31/2014,216.26,218,219,216.05,28.70K,-0.63%
12/30/2014,217.64,216,218.25,216,36.60K,0.46%
12/29/2014,216.65,220,220,216.5,16.50K,-0.87%
12/26/2014,218.56,220.5,222,218.01,34.10K,-1.43%
12/24/2014,221.72,225.1,225.1,221,80.00K,-1.39%
12/23/2014,224.84,221.05,225.75,221.05,313.30K,1.09%
12/22/2014,222.42,215.1,224.4,215,379.70K,3.39%
12/19/2014,215.13,212,219,211,481.90K,1.95%
12/18/2014,211.01,209.98,211.99,209,399.30K,1.45%
12/17/2014,207.99,208,208.05,206,125.90K,0.17%
12/16/2014,207.63,207.5,208.75,204,3.05M,-0.19%
12/15/2014,208.03,208.89,208.89,208,121.40K,0.31%
12/12/2014,207.38,206.01,210,206.01,381.60K,-0.30%
12/11/2014,208,209.5,210,207.6,320.60K,-0.01%
12/10/2014,208.03,208.03,208.95,206,59.90K,-0.42%
12/09/2014,208.91,208.5,210.45,208,58.70K,-0.33%
12/08/2014,209.6,206.7,210.2,206,199.00K,1.76%
12/05/2014,205.98,204.79,209.45,204,733.90K,0.78%
12/04/2014,204.39,202,205,201.55,559.80K,1.61%
12/03/2014,201.15,202,203.3,200.1,226.90K,-0.14%
12/02/2014,201.43,203,205,200.5,335.50K,-0.06%
12/01/2014,201.56,206,206,201,202.10K,-1.56%
11/28/2014,204.75,206,207.5,204.5,101.60K,-1.30%
11/27/2014,207.44,208.8,209.1,207.15,15.30K,-0.55%
11/26/2014,208.58,208,211,207.75,98.90K,-0.06%
11/25/2014,208.7,208.13,210.5,206.5,89.70K,-0.45%
11/24/2014,209.65,209.6,210.15,208.25,56.60K,0.08%
11/21/2014,209.49,206,212.5,206,256.20K,1.20%
11/20/2014,207,212,212,201.18,220.20K,-2.25%
11/19/2014,211.76,213,213.75,210,52.70K,-0.68%
11/18/2014,213.21,213.6,215,213,32.00K,-0.59%
11/17/2014,214.48,211.99,215.25,211.99,46.30K,1.24%
11/14/2014,211.85,212.88,213.99,211.5,55.10K,-0.59%
11/13/2014,213.11,215.15,216.01,213,492.30K,-0.95%
11/12/2014,215.15,215.2,218,213.55,172.00K,0.19%
11/11/2014,214.74,212.51,215.1,212.51,152.80K,0.54%
11/10/2014,213.59,214.08,215,212.99,370.50K,-0.42%
11/07/2014,214.49,215.05,216.3,214.1,59.60K,-1.19%
11/06/2014,217.07,214.1,218.5,214.1,261.00K,0.43%
11/05/2014,216.15,213.5,217,213.5,138.30K,0.76%
10/31/2014,214.53,218,218,213.5,127.80K,-0.03%
10/30/2014,214.6,214,216.7,213.51,151.60K,0.57%
10/29/2014,213.39,216,216,213,126.90K,-0.91%
10/28/2014,215.36,217,217.6,214,55.10K,-0.53%
10/27/2014,216.51,212,217,212,248.50K,2.33%
10/24/2014,211.57,212,215.5,209.5,577.00K,-1.19%
10/23/2014,214.11,208.5,218.71,207.5,604.30K,2.79%
10/22/2014,208.3,209.47,211,207.55,264.50K,0.66%
10/21/2014,206.94,206.51,209.99,205,357.30K,0.27%
10/20/2014,206.39,205.65,211.5,205.65,316.50K,-0.32%
10/17/2014,207.06,209.45,210,206,333.20K,-0.66%
10/16/2014,208.44,212.5,215.75,207,1.13M,-1.92%
10/15/2014,212.52,213.88,213.9,210.1,489.30K,-0.20%
10/14/2014,212.94,213.49,215,212,720.00K,-0.35%
10/13/2014,213.68,205,213.99,204,993.00K,4.85%
10/10/2014,203.8,202,205,201.5,183.60K,1.47%
10/09/2014,200.84,206.45,206.94,200,859.40K,-2.54%
10/03/2014,206.08,207.9,209.95,205.21,54.80K,-1.65%
10/02/2014,209.54,210,211,209.1,368.50K,-0.13%
10/01/2014,209.82,209.35,210,207,111.20K,0.31%
09/30/2014,209.18,200.5,210.1,199.1,521.20K,4.54%
09/29/2014,200.1,201.95,203.78,199,320.70K,-0.68%
09/26/2014,201.46,207.75,209.05,199.97,385.50K,-2.95%
09/25/2014,207.59,213.98,213.98,205,316.50K,-1.99%
09/24/2014,211.8,207.55,213.25,207.5,491.50K,1.92%
09/23/2014,207.82,208.5,210.95,207.5,132.90K,-0.25%
09/22/2014,208.35,209.48,210,207.12,290.40K,-0.23%
09/19/2014,208.82,212,213,208.3,154.70K,-0.96%
09/18/2014,210.85,214.54,216,209.99,156.90K,-1.43%
09/17/2014,213.9,212.05,216.8,210,643.40K,1.18%
09/16/2014,211.41,204.6,214,204.15,742.80K,3.32%
09/15/2014,204.62,194.9,204.64,193.9,2.11M,4.99%
09/12/2014,194.9,199.9,202,193.15,902.10K,-1.30%
09/11/2014,197.47,189,197.47,188.98,1.26M,5.00%
09/10/2014,188.07,191.65,191.65,187.75,415.80K,-1.28%
09/09/2014,190.51,188,196,187.88,297.50K,1.75%
09/08/2014,187.24,187.05,188,186.81,510.20K,0.25%
09/05/2014,186.77,187.5,188.5,186,86.10K,-0.75%
09/04/2014,188.18,188.1,190.7,188,179.50K,-0.60%
09/03/2014,189.31,190.31,191.25,189.01,258.10K,-0.77%
09/02/2014,190.78,189.89,191.5,189.5,528.90K,0.95%
09/01/2014,188.99,188,189.95,185.5,146.40K,-0.30%
08/29/2014,189.56,187.25,191.5,187,165.90K,2.44%
08/28/2014,185.04,183,185.5,182,66.20K,0.58%
08/27/2014,183.97,184.01,185,183,30.10K,-0.56%
08/26/2014,185.01,185,185.7,184.9,13.00K,-0.02%
08/25/2014,185.05,185.5,185.75,184,257.30K,-0.52%
08/22/2014,186.02,186.55,187.17,186,871.40K,-0.45%
08/21/2014,186.87,187,189.75,186,89.30K,0.48%
08/20/2014,185.98,187.6,188,185.11,964.90K,0.19%
08/19/2014,185.63,184.25,186.49,184.25,27.00K,-1.08%
08/18/2014,187.65,187,190,187,529.50K,-1.16%
08/15/2014,189.85,187,190,186,82.20K,2.61%
08/13/2014,185.02,184,185.99,183.5,77.90K,0.99%
08/12/2014,183.2,179.25,188,179.25,651.50K,0.56%
08/11/2014,182.18,183.01,187.7,179.24,327.10K,-3.44%
08/08/2014,188.67,189,191.45,187.7,59.00K,-0.92%
08/07/2014,190.42,189,191,188.5,210.00K,0.06%
08/06/2014,190.31,187.1,191,185.01,251.60K,0.22%
08/05/2014,189.9,188.45,191.98,187.4,209.30K,1.46%
08/04/2014,187.17,186.25,188,185,79.50K,-0.45%
07/28/2014,188.02,188.3,190.9,187.85,165.10K,-0.15%
07/24/2014,188.3,190,190.75,188,404.30K,-0.36%
07/23/2014,188.98,192,194.5,188.65,552.70K,-0.39%
07/22/2014,189.72,190.1,191,188.5,322.30K,-0.19%
07/21/2014,190.08,190,191,189,147.10K,0.10%
07/18/2014,189.89,191.89,192,189,110.40K,-1.04%
07/17/2014,191.88,189.5,194,189.5,391.30K,1.94%
07/16/2014,188.22,188.12,189.5,188,24.30K,-0.73%
07/15/2014,189.61,190.5,194,189.2,54.80K,0.00%
07/14/2014,189.61,187,190.99,187,44.50K,1.03%
07/11/2014,187.68,189,189,187.25,7.00K,-0.21%
07/10/2014,188.07,189.03,190.69,187.99,16.80K,-1.37%
07/09/2014,190.69,189.97,191,189.01,27.10K,0.68%
07/08/2014,189.41,191,191,189.02,7.00K,-0.85%
07/07/2014,191.04,192.99,192.99,191,136.10K,-0.47%
07/04/2014,191.94,191.12,192.5,191.12,9.20K,-0.35%
07/03/2014,192.62,194,194,192.15,16.70K,-0.72%
07/02/2014,194.01,194,195.5,192.31,29.50K,-0.03%
07/01/2014,194.07,197,198,193.02,78.40K,0.14%
06/30/2014,193.79,188.1,197.97,185.11,607.00K,2.78%
06/27/2014,188.55,186,190.49,183,130.50K,1.93%
06/26/2014,184.98,182,185.5,182,189.40K,1.25%
06/25/2014,182.69,184.1,186.54,182,43.00K,-1.14%
06/24/2014,184.79,180,185.45,180,196.50K,2.47%
06/23/2014,180.34,177.5,183,173,202.90K,0.92%
06/20/2014,178.7,177.31,185,177.31,88.30K,0.05%
06/19/2014,178.61,182,182,178.11,94.70K,-1.89%
06/18/2014,182.06,183.9,184,181.5,35.20K,-0.81%
06/17/2014,183.55,186.5,187.02,183,41.90K,-1.91%
06/16/2014,187.13,186.15,189.99,186.15,171.80K,-0.27%
06/13/2014,187.63,184.5,190.1,184.5,208.50K,0.95%
06/12/2014,185.87,186.99,187,184.01,31.70K,-0.05%
06/11/2014,185.97,187,187.99,185.13,27.70K,0.16%
06/10/2014,185.67,189.02,190,185,77.80K,-2.24%
06/09/2014,189.93,190,192,189.15,94.30K,0.55%
06/06/2014,188.9,190,190.9,188.2,107.90K,-0.46%
06/05/2014,189.78,190.5,192,188,65.10K,0.61%
06/04/2014,188.63,189.5,191,188,36.60K,-0.57%
06/03/2014,189.71,192,193,184.99,106.90K,-1.38%
06/02/2014,192.36,192,194.5,191.5,114.20K,-0.45%
05/30/2014,193.23,189.9,197,187.75,356.10K,2.60%
05/29/2014,188.33,184,189.5,184,176.90K,2.24%
05/28/2014,184.2,185,185,184,15.70K,-0.23%
05/27/2014,184.62,187.75,187.75,184.05,36.30K,-0.74%
05/26/2014,185.99,181.7,186.4,181.6,102.00K,1.82%
05/23/2014,182.67,184.25,184.25,182.04,14.40K,-1.13%
05/22/2014,184.75,183,185.2,182,93.50K,1.21%
05/21/2014,182.54,183.96,184,182.1,19.20K,-0.87%
05/20/2014,184.14,184.9,185.75,184.11,14.00K,-1.02%
05/19/2014,186.04,186,187,184.51,119.40K,1.14%
05/16/2014,183.95,182.1,185,182.1,82.70K,0.23%
